Élève n°,Suites arithmétiques,Suites arithmétiques 2,Automatismes 1-5,Fonctions affines,Suites géométriques,Automatismes 6-10,Fonctions exponentielles ,Activité : nombre dérivé,,,,
1,,,17,,11,13.3333333333333,,13,,,,
2,,,20,,14,17,12,17,,,,
3,5.5,18,17,11,14,13.5,13.5,17.5,,,,
4,2.56,14.85,17,,12,14.375,18,19.5,,,,
5,4,19.5,12,5,12.5,15,11,13.5,,,,
6,,18,16.5,1,13.5,15,12.5,17.5,,,,
7,10.5,15,19,15.5,17,16.875,17,17,,,,
8,9,16,18.75,12,18.5,20,13,17,,,,
9,8,18.5,16,8.5,16.5,14,17,17.5,,,,
10,5,14.5,18,9,13,12.5,12,19.5,,,,
11,3.5,13.5,17.5,10,15,14.5,13,18,,,,
12,6,17,15,12,18,19.1666666666667,14.5,,,,,
13,5,,20,8.5,15,16,9,19,,,,
14,,11.5,15.8333333333,8,11,16,8,19,,,,
15,,11.5,20,12.5,,16.6666666666667,13.5,18,,,,
16,4.5,15,17.5,8,16.5,15.5,13,18,,,,
17,,,16.6666666667,15.5,20,19.375,19,19,,,,
18,4.5,15,16,8,,15.5,12,18,,,,
19,9.5,19,18,12,15,20,,,,,,
20,,,15,,14,16.6666666666667,10.8,,,,,
21,9.5,14.5,16,7.25,11,20,13.5,18,,,,
22,5,,,,,,,,,,,
23,5.5,15.5,16,7,13,13.5,10.5,14,,,,
24,,,19,13.5,14,17.5,10.5,17,,,,
25,8.5,13.5,19.5,11.5,18.5,17,14,18,,,,
26,5,13.5,17,5.75,15.5,14.5,14,18,,,,
27,9.5,19.5,20,14,19,19,,,,,,
28,3,17.5,12,5,14.5,16,13.5,13,,,,
29,3,21,20,7,15,17.5,11.5,19,,,,
30,,,,,,,,,,,,
31,1.5,11.5,13.125,11.5,17,14.375,18,18,,,,
32,11.5,19.5,16,11.5,17.5,20,17,19,,,,
,,,,,,,,,,,,
,Suites arithmétiques,Suites arithmétiques 2,Automatismes 1-5,Fonctions affines,Suites géométriques,Automatismes 6-10,Fonctions exponentielles ,Activité : nombre dérivé,,,,
Mean,6.06782608695652,15.9520833333333,17.0458333333333,9.63461538461539,15.0535714285714,16.3444444444444,13.3814814814815,17.3846153846154,,,,
Standard Error,0.589311568788028,0.565889379254586,0.407525933719511,0.683209446604037,0.475830717276803,0.411272232070025,0.537961675761341,0.373453418275026,,,,
Mode,5,11.5,16,8,14,20,13.5,18,,,,
Median,5,15.25,17,9.5,15,16,13,18,,,,
First Quartile,4.25,14.25,16,7.4375,13.375,14.5,11.75,17,,,,
Third Quartile,8.75,18.125,18.9375,12,17,17.5,14.25,18.75,,,,
Variance,7.98762687747036,7.68553894927536,4.98232159961877,12.1361538461539,6.3396164021164,5.07434546615583,7.81387464387464,3.62615384615384,,,,
Standard Deviation,2.8262389986465,2.77228046006809,2.23211146666531,3.48369830010491,2.51785948815981,2.25263078780253,2.79533086483061,1.90424626720229,,,,
Kurtosis,-0.986195200931642,-0.95421577596831,0.135923777751262,0.0630506920750631,-0.765293645049838,-0.967564296125901,-0.309489831179612,1.14305787493699,,,,
Skewness,0.398111633930909,0.0231340491652498,-0.586593347157373,-0.346525544779093,0.136461100770115,0.29494692136667,0.350817234059905,-1.40779651573899,,,,
Range,10,9.5,8,14.5,9,7.5,11,6.5,,,,
Minimum,1.5,11.5,12,1,11,12.5,8,13,,,,
Maximum,11.5,21,20,15.5,20,20,19,19.5,,,,
Sum,139.56,382.85,511.375,250.5,421.5,490.333333333333,361.3,452,,,,
Count,23,24,30,26,28,30,27,26,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Élève n°,Automatisme 1,Automatisme 2,Automatismes 3,Automatismes 4,Automatismes 5,Automatismes 6,Automatismes 7,Automatismes 8,Automatismes 9,Automatismes 10,Automatismes 11,Automatisme 12
1,2,3,4,4,4,,2,2,3.5,4,3,3
2,4,4,4,4,4,3,3,3,4,4,4,3
3,3,3,3,4,4,4,0.5,2,3,4,2,
4,3,3.5,3,4,3.5,4,0.5,3,,4,2,
5,0,1.5,3,4,3.5,4,1,3,4,3,3,2
6,3,3,3,4,3.5,4,2,2,3,4,2,3
7,4,4,3,4,4,3.5,4,4,,2,3,3
8,4,4,3,4,,4,4,4,4,4,,3
9,2,3.5,3,4,3.5,4,2,2,2,4,3,3
10,3,4,3,4,4,4,0.5,2,2,4,2,3
11,3,3,3.5,4,4,3,1,3,3.5,4,4,3
12,2,3,2,4,4,3.5,,,4,4,2,4
13,,,4,4,4,3,2,3,4,4,3,4
14,2,3.5,,,4,4,2,2,4,4,4,4
15,4,4,,,4,3,,3,,4,4,3
16,3,3,3.5,4,4,3.5,0.5,4,3.5,4,4,3
17,,,2,4,4,3.5,4,4,4,,1.5,4
18,2,2.5,3.5,4,4,3.5,0.5,4,3.5,4,4,3
19,3,3,4,4,4,4,,,,4,3,3
20,1,2,4,4,4,3,3,,,4,,
21,2,4,2,4,4,,4,4,4,4,2,4
22,,,,,,,,,,,,
23,2,3,3,4,4,4,0.5,2,3,4,2,3
24,4,4,3,4,4,3.5,4,4,4,2,3,2
25,4,4,3.5,4,4,3,3,3,4,4,4,3
26,3,2.5,3.5,4,4,3,1,3,3.5,4,4,3
27,4,4,4,4,4,4,4,3,4,4,2.5,3 (bonus)
28,0,1.5,3,4,3.5,4,1,3,4,4,3,2
29,4,4,4,4,4,4,2.5,3,4,4,2,2.5
30,,,,,,,,,,,,
31,2,2,2.5,4,,2,3,3,3.5,,4,3
32,2,4,2,4,4,,4,4,4,,2,4
